Loading analysis\params-ks-grand.json ...
Processing 704 samples with 4 workers ...
  66/704: m029_vel2 ... N_FFT=16384  EQ peak=18.2dB range=27.4dB  width=2.601
  67/704: m029_vel0 ... N_FFT=16384  EQ peak=15.9dB range=27.9dB  width=2.429
  68/704: m029_vel3 ... N_FFT=16384  EQ peak=20.5dB range=28.7dB  width=1.537
  69/704: m029_vel5 ... N_FFT=16384  EQ peak=18.9dB range=24.0dB  width=1.478
  70/704: m029_vel7 ... N_FFT=16384  EQ peak=15.6dB range=16.8dB  width=1.373
  71/704: m029_vel6 ... N_FFT=16384  EQ peak=17.9dB range=18.8dB  width=2.196
  72/704: m030_vel1 ... N_FFT=16384  EQ peak=18.0dB range=31.3dB  width=3.344
  73/704: m030_vel0 ... N_FFT=16384  EQ peak=17.2dB range=38.3dB  width=1.016
  74/704: m030_vel2 ... N_FFT=16384  EQ peak=12.8dB range=22.3dB  width=0.973
  75/704: m030_vel3 ... N_FFT=16384  EQ peak=18.9dB range=21.7dB  width=1.224
  76/704: m031_vel0 ... N_FFT=16384  EQ peak=1.0dB range=22.7dB  width=0.559
  77/704: m030_vel6 ... N_FFT=16384  EQ peak=19.3dB range=21.9dB  width=1.330
  78/704: m030_vel5 ... N_FFT=16384  EQ peak=16.7dB range=18.8dB  width=0.721
  79/704: m030_vel4 ... N_FFT=16384  EQ peak=22.5dB range=28.2dB  width=0.873
  80/704: m028_vel7 ... N_FFT=16384  EQ peak=15.8dB range=16.7dB  width=1.068
  81/704: m031_vel1 ... N_FFT=16384  EQ peak=16.5dB range=32.5dB  width=1.337
  82/704: m031_vel2 ... N_FFT=16384  EQ peak=14.6dB range=24.7dB  width=0.682
  83/704: m030_vel7 ... N_FFT=16384  EQ peak=14.4dB range=15.3dB  width=0.826
  84/704: m031_vel3 ... N_FFT=16384  EQ peak=13.7dB range=21.2dB  width=0.909
  85/704: m031_vel5 ... N_FFT=16384  EQ peak=17.3dB range=18.7dB  width=0.928
  86/704: m031_vel4 ... N_FFT=16384  EQ peak=18.2dB range=20.9dB  width=2.102
  87/704: m031_vel6 ... N_FFT=16384  EQ peak=18.7dB range=19.5dB  width=2.023
  88/704: m032_vel0 ... N_FFT=16384  EQ peak=15.9dB range=34.7dB  width=1.666
  89/704: m032_vel1 ... N_FFT=16384  EQ peak=22.4dB range=40.6dB  width=1.037
  90/704: m031_vel7 ... N_FFT=16384  EQ peak=19.1dB range=20.4dB  width=1.567
  91/704: m032_vel2 ... N_FFT=16384  EQ peak=21.8dB range=30.0dB  width=1.661
  92/704: m032_vel3 ... N_FFT=16384  EQ peak=17.8dB range=23.8dB  width=1.881
  93/704: m032_vel4 ... N_FFT=16384  EQ peak=23.5dB range=27.7dB  width=1.298
  94/704: m032_vel5 ... N_FFT=16384  EQ peak=20.4dB range=22.8dB  width=3.433
  95/704: m032_vel6 ... N_FFT=16384  EQ peak=24.1dB range=25.2dB  width=1.252
  96/704: m032_vel7 ... N_FFT=16384  EQ peak=25.2dB range=26.9dB  width=2.385
  97/704: m033_vel1 ... N_FFT=16384  EQ peak=21.2dB range=44.2dB  width=2.134
  98/704: m033_vel2 ... N_FFT=16384  EQ peak=23.8dB range=41.9dB  width=2.493
  99/704: m033_vel0 ... N_FFT=16384  EQ peak=17.8dB range=43.3dB  width=1.323
  100/704: m033_vel3 ... N_FFT=16384  EQ peak=22.5dB range=37.3dB  width=1.533
  101/704: m033_vel4 ... N_FFT=16384  EQ peak=33.7dB range=44.2dB  width=4.950
  102/704: m034_vel1 ... N_FFT=16384  EQ peak=22.6dB range=42.8dB  width=2.805
  103/704: m034_vel0 ... N_FFT=16384  EQ peak=19.1dB range=38.6dB  width=3.446
  104/704: m033_vel5 ... N_FFT=16384  EQ peak=25.9dB range=33.9dB  width=3.732
  105/704: m033_vel6 ... N_FFT=16384  EQ peak=22.3dB range=25.3dB  width=2.609
  106/704: m033_vel7 ... N_FFT=16384  EQ peak=20.1dB range=24.6dB  width=1.190
  107/704: m034_vel2 ... N_FFT=16384  EQ peak=18.3dB range=32.6dB  width=4.270
  108/704: m034_vel3 ... N_FFT=16384  EQ peak=20.4dB range=36.1dB  width=1.718
  109/704: m034_vel4 ... N_FFT=16384  EQ peak=18.8dB range=30.8dB  width=2.272
  110/704: m035_vel1 ... N_FFT=16384  EQ peak=16.1dB range=34.7dB  width=2.385
  111/704: m035_vel0 ... N_FFT=16384  EQ peak=10.8dB range=28.2dB  width=1.882
  112/704: m034_vel6 ... N_FFT=16384  EQ peak=20.8dB range=28.2dB  width=3.169
  113/704: m034_vel5 ... N_FFT=16384  EQ peak=19.7dB range=27.6dB  width=2.628
  114/704: m035_vel2 ... N_FFT=16384  EQ peak=24.4dB range=41.5dB  width=1.177
  115/704: m034_vel7 ... N_FFT=16384  EQ peak=20.5dB range=22.7dB  width=2.522
  116/704: m035_vel3 ... N_FFT=16384  EQ peak=23.9dB range=36.9dB  width=1.581
  117/704: m035_vel5 ... N_FFT=16384  EQ peak=26.3dB range=31.4dB  width=4.135
  118/704: m035_vel4 ... N_FFT=16384  EQ peak=27.4dB range=36.6dB  width=1.647
  119/704: m036_vel0 ... N_FFT=16384  EQ peak=6.5dB range=23.3dB  width=0.619
  120/704: m036_vel1 ... N_FFT=16384  EQ peak=15.7dB range=31.4dB  width=1.884
  121/704: m035_vel7 ... N_FFT=16384  EQ peak=24.4dB range=29.8dB  width=2.151
  122/704: m035_vel6 ... N_FFT=16384  EQ peak=24.6dB range=33.3dB  width=3.101
  123/704: m036_vel2 ... N_FFT=16384  EQ peak=15.7dB range=26.7dB  width=2.427
  124/704: m036_vel3 ... N_FFT=16384  EQ peak=11.2dB range=19.1dB  width=1.718
  125/704: m036_vel4 ... N_FFT=16384  EQ peak=15.3dB range=20.0dB  width=2.861
  126/704: m036_vel6 ... N_FFT=16384  EQ peak=17.1dB range=21.9dB  width=1.389
  127/704: m037_vel1 ... N_FFT=16384  EQ peak=6.3dB range=19.3dB  width=1.227
  128/704: m036_vel5 ... N_FFT=16384  EQ peak=11.7dB range=23.5dB  width=1.273
  129/704: m037_vel0 ... N_FFT=16384  EQ peak=16.4dB range=34.8dB  width=1.973
  130/704: m037_vel2 ... N_FFT=16384  EQ peak=9.9dB range=22.7dB  width=1.427
  131/704: m036_vel7 ... N_FFT=16384  EQ peak=19.7dB range=21.2dB  width=1.703
  132/704: m037_vel3 ... N_FFT=16384  EQ peak=15.0dB range=23.4dB  width=2.289
  133/704: m037_vel6 ... N_FFT=16384  EQ peak=18.3dB range=32.9dB  width=1.003
  134/704: m037_vel4 ... N_FFT=16384  EQ peak=18.2dB range=28.7dB  width=1.387
  135/704: m037_vel5 ... N_FFT=16384  EQ peak=18.0dB range=31.8dB  width=0.761
  136/704: m038_vel1 ... N_FFT=16384  EQ peak=5.1dB range=19.6dB  width=1.340
  137/704: m038_vel0 ... N_FFT=16384  EQ peak=3.9dB range=21.7dB  width=1.867
  138/704: m037_vel7 ... N_FFT=16384  EQ peak=20.1dB range=27.3dB  width=0.677
  139/704: m038_vel2 ... N_FFT=16384  EQ peak=9.6dB range=26.5dB  width=1.232
  140/704: m038_vel3 ... N_FFT=16384  EQ peak=9.4dB range=23.5dB  width=1.883
  141/704: m038_vel6 ... N_FFT=16384  EQ peak=14.1dB range=29.0dB  width=1.685
  142/704: m038_vel5 ... N_FFT=16384  EQ peak=7.1dB range=15.9dB  width=2.921
  143/704: m038_vel4 ... N_FFT=16384  EQ peak=11.8dB range=21.8dB  width=3.042
  144/704: m038_vel7 ... N_FFT=16384  EQ peak=14.2dB range=23.5dB  width=2.156
  145/704: m039_vel1 ... N_FFT=8192  EQ peak=21.0dB range=35.6dB  width=1.815
